feature,importance
cycle,0.5775688328047848
max_cycle,0.2852042555450208
15,0.10819710756818898
8,0.017637634090827373
13,0.004005319288255749
16,0.0018316221759963095
18,0.0015093983872769133
engine_id,0.0009952871685372329
11,0.0008393105709748896
19,0.0006296843040191514
